field	2.spe
 335.470	 16680
 335.472	 16695
 335.474	 16695
 335.477	 16695
 335.479	 16680
 335.481	 16680
 335.484	 16680
 335.486	 16680
 335.488	 16680
 335.491	 16695
 335.493	 16710
 335.495	 16710
 335.498	 16710
 335.500	 16710
 335.502	 16710
 335.505	 16710
 335.507	 16710
 335.509	 16720
 335.512	 16710
 335.514	 16710
 335.516	 16710
 335.519	 16735
 335.521	 16710
 335.524	 16720
 335.526	 16735
 335.528	 16735
 335.531	 16750
 335.533	 16750
 335.535	 16760
 335.538	 16760
 335.540	 16760
 335.542	 16760
 335.545	 16800
 335.547	 16800
 335.549	 16790
 335.552	 16790
 335.554	 16815
 335.556	 16830
 335.559	 16840
 335.561	 16855
 335.563	 16855
 335.566	 16855
 335.568	 16855
 335.570	 16870
 335.573	 16870
 335.575	 16870
 335.577	 16880
 335.580	 16880
 335.582	 16880
 335.584	 16895
 335.587	 16895
 335.589	 16895
 335.592	 16895
 335.594	 16910
 335.596	 16920
 335.599	 16920
 335.601	 16950
 335.603	 16950
 335.606	 16960
 335.608	 16975
 335.610	 16975
 335.613	 17000
 335.615	 17015
 335.617	 17030
 335.620	 17055
 335.622	 17055
 335.624	 17070
 335.627	 17070
 335.629	 17080
 335.631	 17110
 335.634	 17095
